ID;Atasözü/Deyim;Anlamı;Zorluk;Kategori;Örnek;Yanlış Cevap 1;Yanlış Cevap 2;Yanlış Cevap 3
215;"Doğrunun yardımcısı
Allah'tır";İşlerinde doğruluktan ayrılmayan kişiye Tanrı her zaman yardım eder.;2;genel;;"Kişi ne yaparsa kendine
yapar";Kör görmez sezer;Laf torbaya girmez
216;"Doluya koydum almadı, boşa
koydum dolmadı";İçinden çıkılmayan güç bir durum karşısında söylenen bir söz.;2;genel;;"Bir kulağından girip öbür
kulağından çıkmak";Şeytanın bacağını kırmak;"Kişinin kendine ettiğini
kimse edemez"
217;Dost acı söyler;Yakınlarımız, eksikliklerimizi çekinmeden söylerler.;2;genel;;Kapıda kalmak;Lafa karışmak;İki deliye bir uslu koymuşlar
218;"Dost ağlatır, düşman
güldürür";Dost olan kimsenin söylediği söz, acı da olsa insanın iyiliği içindir.;2;genel;;"Atasını tanımayan Allah'ını
tanımaz";Kale almamak;Külahını ters giydirmek
219;"Dost başa, düşman ayağa
bakar";İyi bir görüntü verebilmek için her zaman temiz giyinip kuşanmak gereklidir.;2;genel;;Tozu dumana katmak;"Kırk yıllık Kâni, olur mu
Yani";Kalıbını basmak
220;"Dost dostun ayıbını
yüzüne söyler";Gerçek dost uyarmak, kusurun düzeltilmesini sağlamak amacıyla ayıbı yüze karşı söyler.;2;genel;;"Kar ne kadar çok yağsa
yaza kalmaz";Meydana çıkarmak;Yaygarayı basmak
221;"Dostun attığı taş baş
yarmaz";Dostun acı sözü veya sert davranışı insana ağır gelmez.;2;genel;;Yüz yüzden utanır;"Büyük başın derdi büyük
olur";"Dilden gelen elden gelse
her fukara padişah olur"
222;"Dostluk okkayla, alışveriş
dirhemle";Dostluğun değeri ölçülemez, alışverişse ölçülü yapılmalı.     29;2;genel;;"Bağa bak, üzüm olsun,
yemeye yüzün olsun";Kafasına koymak;Sırtından geçinmek
223;Dün öleni dün gömerler;Bir üzüntü sürdürülmemeli, unutulmaya çalışılmalıdır.;2;genel;;"Olacakla öleceğe çare
bulunmaz";Burnundan kıl aldırmamak;"Dost ağlatır, düşman
güldürür"
224;"Ecel geldi cihana, baş ağrısı
bahane";Herkesin ölümü için bir sebep vardır.;2;genel;;Dut yemiş bülbüle dönmek;Son kozunu oynamak;"Bülbülü altın kafese
koymuşlar, ah vatanım demiş"
225;Eğilen baş kesilmez;Kusurunu anlayıp özür dileyen kişi bağışlanmalıdır.;2;genel;;"Sütten ağzı yanan ayranı
üfleyerek içer";Yakışık almamak;Dikiş tutturamamak
226;Eğreti ata binen tez iner;Ödünç alınmış araçlarla girişilen işler çok kez yürütülemez.;2;genel;;"Ak gün ağartır, kara gün
karartır";"Avcı ne kadar hile al bilse ayı
o kadar yol bilir";Yaraya tuz biber ekmek
227;"Eğri oturup doğru
konuşalım";Birisine karşı tutumumuz ne olursa olsun doğruyu söylemeliyiz.;2;genel;;Kelleyi koltuğuna almak;"Tencerede pişirip kapağında
yemek";Acele yürüyen yolda kalır
228;Ekmek aslanın ağzında;Geçim sağlayacak bir iş bulmak ve para kazanmak kolay değildir.;2;genel;;"Komşu kızı almak, kalaylı
kaptan su içmek gibidir";Taban tepmek;Pot kırmak
229;Ekmek istemez su istemez;Hiçbir masrafı yoktur.;2;genel;;İki ateş arasında kalmak;"Keçiye can kaygısı, kasaba
yağ kaygısı";"Ak koyun ara koyun geçit
başında belli olur"
230;El için ağlayan gözden olur;Başkası için yapılacak fedakârlığın bir sınırı vardır.;2;genel;;"Kaşıkla yedirip, sapıyla göz
çıkarmak";Bal olan yerde sinek de olur;Çil yavrusu gibi dağılmak
231;El kazanıyla aş kaynamaz;Önemli bir iş, başkalarının yardımıyla başarılamaz, iş her an yarıda kalabilir.;2;genel;;Açık yaraya tuz ekilmez;At binenin, kılıç kuşananın;"Aza kanaat etmeyen çoğu
hiç bulamaz"
232;Elçiye zeval olmaz;Bir kimseden başka bir kimseye herhangi bir haber ulaştıran, bu aracılığından dolayı sorumlu tutulmaz.;2;genel;;Balık kavağa çıkınca;Ağır git ki yol alasın;Tarihe karışmak
233;"Elin ağzı torba değil ki
büzesin";Başkalarının söyleyeceklerine engel olamazsınız.     30;2;genel;;İki deliye bir uslu koymuşlar;Ne ekersen onu biçersin;Güneş balçıkla sıvanmaz
234;"Elmanın dibi göl, armudun
dibi yol";Dıştan birbirine benzeyen her şeye aynı işlem uygulanamaz, her biri özelliğine göre ayrı bir davranış ister.;2;genel;;"İnsan doğduğu yerde değil,
doyduğu yerde";Yük altına girmek;"Damdan düşen, damdan
düşenin hâlini bilir"
235;"Emek olmadan yemek
olmaz";Yaşayabilmek, harcayabilmek için çalışıp kazanmak gerekir.;2;genel;;Geç olsun da güç olmasın;"Astar bol olmayınca yüze
gülmez";"Cefayı çekmeyen sefanın
kadrini bilmez"
236;"Erkeğin kalbine giden yol
midesinden geçer";Kendini bir erkeğe beğendirmek isteyen kadın, ona güzel yemekler hazırlamalıdır.;2;genel;;Yumurta kapıya dayanmak;Şafak atmak;Işık almak
237;Erken kalkan yol alır;Yapacakları işlere erken başlayanlar kazançlı çıkarlar.;2;genel;;"Rüzgârlı havanın kuytusu,
yağmurlu havanın uykusu";Çul içinde aslan yatar;"Bacak kadar boyu var,
türlü türlü huyu var"
238;"Eski düşman dost olmaz,
yenisinden vefa gelmez";Birçok nedenin birbirini izlemesiyle sürüp gelmiş olan eski düşmanlık, dostluğa dönüştürülemez.;2;genel;;"Adamın yere bakanından,
suyun yavaş akanından kork";Yeme de yanında yat;Tereciye tere satmak
239;"Eskisi olmayanın yenisi
olmaz";Yeni bir şey edinildiğinde eskisi hemen elden çıkarılmamalıdır.;2;genel;;Ateş düştüğü yeri yakar;Mürekkep yalamak;Sevinci kursağında kalmak
240;"Eşeğe altın semer vursalar
yine eşektir";İnsanlık değerinden yoksun kişi, kılık kıyafetle, makam ve mevkiiyle değer kazanmaz.;2;genel;;"Ağlarsa anam ağlar, gayrısı
yalan ağlar";Can boğazdan gelir;"Çağrılmayan yere
çörekçiyle börekçi gider"
241;"Eşek , kulağı kesilmekle
küheylan olmaz";Biçim değiştirmekle öz değişmiş olmaz.     31;2;genel;;"Alma mazlumun ahını, çıkar
aheste aheste";Üstüne üstüne gitmek;İçine doğmak
242;Etle tırnak arasına girilmez;Aile anlaşmazlıklarında bir yanı tutmak doğru değildir.;2;genel;;Esamisi okunmamak;Yıldızları barışmamak;Rahat yüzü görmemek
243;Etme bulma dünyası;Kötülük eden kötülük bulur.;2;genel;;"Uyuyan yılanın kuyruğuna
basma";Yaş akıtmak;"Dağ başından duman eksik
olmaz"
244;Ev alma, komşu al;Komşuluk ilişkileri, iyi bir komşuya sahip olma çok çok önemlidir.;2;genel;;İçine kurt düşmek;"Demir nemden, insan
gamdan çürür";"Bir adama kırk gün ne dersen
o olur"
245;"Evdeki hesap çarşıya
uymaz";Önceden tasarlanan bir iş umulduğu gibi sonuçlanmaz, düşünüldüğü gibi olmaz.;2;genel;;"Her ağacın meyvesi
olmaz";Mumla aramak;"Tabak sevdiği deriyi taştan
taşa çalar"
246;"Evden bir ölü çıkacak
demişler, herkes hizmetçinin
yüzüne bakmış";Topluluk içinde birinin tehlikeli bir iş yapması gerektiğinde herkes bunu söz geçirebileceği birinden bekler.;2;genel;;İki arada bir derede kalmak;Çorbada tuzu bulunmak;Tozu dumana katmak
247;"Evlinin bir evi var, kiracının
bin evi var";Evi olan yalnızca kendi evinde oturur, evi olmayan ise beğendiği evde oturur.;2;genel;;Her ağaçtan kaşık olmaz;Sürüden ayrılmak;Boyunun ölçüsünü almak
248;"Fakirlik ayıp değil,
tembellik ayıp";Yoksulluk utanılacak bir şey değildir, çalışmamak en büyük ayıptır.;2;genel;;"Anlayana sivrisinek saz,
anlamayana davul zurna az";"Demir nemden, insan
gamdan çürür";Ağız değiştirmek
249;"Fukaranın tavuğu tek tek
yumurtlar";"Talih, fakire hiç gülmez; aynı sermaye zengine daha çok, fakire daha az gelir getirir.     32";2;genel;;Tıka basa yemek;Laf torbaya girmez;"Borcun iyisi vermek,
derdin iyisi ölmek"
250;"Garibe bir selam bin altın
değer";Yabancı yerde tek başına kalan kimseye karşı gösterilecek küçük bir ilgi, en büyük iyilik yerine geçer.;2;genel;;Üstüne toz kondurmamak;"Borç ödemekle, yol
yürümekle tükenir";Tadına doyum olmamak
251;"Garip kuşun yuvasını Allah
yapar";Garip ve kimsesiz kişiye Tanrı yardım eder.;2;genel;;İçi kan ağlamak;"Çok havlayan köpek
ısırmaz";"Borç ödemekle, yol
yürümekle tükenir"
252;Geç olsun da güç olmasın;Çeşitli engeller yüzünden gerçekleşemeyen işlerde avunmak için söylenen bir söz.;2;genel;;"Tembele iş buyur, sana
akıl öğretsin";Ekmek aslanın ağzında;Ateş düştüğü yeri yakar
253;"Gel demesi kolay ama git
demesi güçtür";Bir kimseyi işe almak, bir misafir çağırmak kolaydır ancak bir kimsenin işine son vermek, misafire git demek zordur.;2;genel;;At binenin, kılıç kuşananın;Bindiği dalı kesmek;Meydana getirmek
254;Gelen gideni aratır;Beğenmediğimiz bir kişinin yerine öyle birisi gelir ki eskisini aratır.;2;genel;;Dört duvar arasından kalmak;Boğaz dokuz boğumdur;Mantar gibi yerden bitmek
255;Gelene git denilmez;Kendiliğinden gelen bir konuk geri çevrilmez.;2;genel;;"Zürefanın düşkünü, beyaz
giyer kış günü";İki el, bir baş için;Tükürdüğünü yalamak
256;"Gelini ata bindirmişler ‘ya
nasip’ demiş";Kesin sonuç alınmadan hiçbir işe olup bitti gözüyle bakılmaz.;2;genel;;Ayağını yorganına göre uzat;"Malı ongun olanın adı angın
olur";Mürüvvete endaze olmaz
257;"Gençliğin kıymeti
ihtiyarlıkta bilinir";İnsan gençliğinde yaptığı şeylerin çoğunu yaşlandığında yapamaz ve gençliğin ne denli değerli olduğunu o zaman anlar.     33 -ATASÖZLERİ258-Gidilmeyen yer senin değildir : Gidemediğiniz yerinizin, kullanamadığınız malınızın size bir yararı olmaz.;2;genel;;Çivi çıkar ama yeri kalır;"Karıncadan ibret al,
yazdan kışı karşılar";Her boyaya girip çıkmak
259;"Gidip de gelmemek var,
gelip de görmemek var";Uzak bir yere giden kişi dönmeyebilir, dönebilse de ayrılırken bıraktığı yakınlarını bulmayabilir.;2;genel;;Arı bal alacak çiçeği bilir;"Allah Halil İbrahim bereketi
versin";Yarım elma, gönül alma
260;"Gönül bir sırça saraydır,
kırılırsa yapılmaz";Kolay kolay onarılamayacağı için bir kimsenin özellikle de dostlarımızın gönlünü kırmamaya özen göstermeliyiz.;2;genel;;Ne yârdan geçilir ne serden;İpe un sermek;Yan çizmek
261;Güneş balçıkla sıvanmaz;Herkesin bildiği bir gerçek, yalan yanlış sözlerle değiştirilemez, örtbas edilemez.;2;genel;;Parayı veren düdüğü çalar;Oduncunun gözü omçada;Kuş uçurmamak
262;"Güneş girmeyen eve doktor
girer";Güneşsiz evde hastalık eksik olmaz.;2;genel;;Acı acıyı keser, su sancıyı;"Kulağı ters taraftan
göstermek";"Çocuğu iş buyuran,
ardınca kendi gider"
263;"Hacı hacıyı Mekke’de, derviş
dervişi tekkede bulur";Hedefleri, amaçları aynı olanların yolları aynı noktada kesişir.;2;genel;;Ne ekersen onu biçersin;Öpüp başına koymak;Yerden yere vurmak
264;"Haddini bilmeyene
bildirirler";Çevresindekileri hiçe sayarak yetkili olmadığı konularda yüksekten atanlara sert karşılıklarla gereken dersler verilir.;2;genel;;At binenin, kılıç kuşananın;Yeri göğü birbirine katmak;İpe sapa gelmemek
265;"Hak deyince akan sular
durur";Bir anlaşmazlıkta adalet, tarafsızlık, hakkaniyet devreye girdiğinde kimsenin söyleyecek sözü kalmaz.   34;2;genel;;"Fakirlik ayıp değil,
tembellik ayıp";Ekmek istemez su istemez;İbret almak
266;Hak yerini bulur;Haksızlık er geç ortaya çıkar.;2;genel;;İğne ipliğe dönmek;Alıcı kuşun ömrü az olur;Laf torbaya girmez
267;Hamama giren terler;Bir işe girişen, o işin güçlüklerini veya masraflarını göze almalıdır.;2;genel;;Adam adamı bir kez aldatır;"Gel demesi kolay ama git
demesi güçtür";Çamura bulaşmak
268;"Hangi rüzgâr attı?
Bir yere uzun süre uğramamışken
beklenmedik bir zamanda gelenlere
sitem yollu söylenen bir söz.
269-Hastaya bakmaktan hasta
olması yeğdir";Ağır bir hastaya bakmak o denli güçtür ki, kimi zaman hasta olmak bundan daha kolay görünür.;2;genel;;Nefesini tutup beklemek;İş çığırından çıkmak;"Gelini ata bindirmişler ‘ya
nasip’ demiş"
270;Hastaya döşek sorulmaz;Bir kişiye, onsuz yapamayacağı belli olan bir şeyin gerekli olup olmadığı sorulmaz.;2;genel;;Saat gibi işlemek;İpliği pazara çıkmak;"Suya götürüp susuz
getirmek"
271;Hatasız kul olmaz;İnsan yanılmamak için ne kadar dikkat ederse etsin yine yanılır.;2;genel;;"Sorma kişinin aslını
sohbetinden bellidir";Kapısını aşındırmak;"Çam ağacından ağıl olmaz,
el çocuğundan oğul olmaz"
272;"Hekimden sorma,
çekenden sor";Bir sıkıntının acısını ancak onu çeken bilir.;2;genel;;Paha biçmek;Rafa kaldırmak;"Keçiye can kaygısı, kasaba
yağ kaygısı"
273;"Her ağacın meyvesi
olmaz";Dışarıdan verimli gibi görünen herkes verimli olmaz.;2;genel;;Tam üstüne basmak;Tadına doyum olmamak;Ava giden avlanır
274;Her ağaçtan kaşık olmaz;Özelliği olan bir iş için sıradan birisi kullanılamaz.;2;genel;;Ne kokar ne bulaşır;"Sağ gözünü sol gözünden
sakınmak";Göbeği çatlamak
275;"Her gün baklava börek
yense bıkılır";Hep aynı şeyle uğraşmak insana bıkkınlık verir.     35;2;genel;;"Sağ elinin verdiğini sol elin
görmesin";"Suyu görünce teyemmüm
bozulur";"Katranı kaynatsan olur mu
şeker?
Kişi, kendi özünü veya asıl
özelliklerini değiştirmiş gibi görünse
de asla değişmez.
343-Kavgada kılıç ödün vermez"
276;"Her horoz kendi çöplüğünde
öter";Herkes ancak kendi çevresinde bir değer taşır ve sözünü orada geçirebilir.;2;genel;;Ne od var ne ocak;Yan gözle bakmak;Sıfırdan başlamak
277;Her işte bir hayır vardır;Kişi, kötümserliğe kapılmamak için olup biten her işi hayra yormalıdır.;2;genel;;"Ağaca dayanma kurur,
adama insana dayanma ölür";Nabzını yoklamak;Postu kurtarmak
278;"Her kaşığın kısmeti bir
olmaz";Herkesin talihi, kazancı bir değildir.;2;genel;;"Araba devrilince yol
gösteren çok olur";Kökünü kazmak;"Sabır acıdır, meyvesi
tatlıdır"
279;Her kuşun eti yenmez;Herkes zorbalığa boyun eğmez, buna karşı gelecekler de çıkar.;2;genel;;"Gökten zembille mi indi?
Neden başkalarına tanınmayan
haklar ona tanınıyor.
92-Göklere çıkarmak";Kuş uçurmamak;"Boş gezmekten bedava
çalışmak yeğdir"
280;"Her yiğidin bir yoğurt yiyişi
vardır";Herkesin kendine özgü bir çalışma yöntemi, bir iş yapma biçimi vardır.;2;genel;;Ezbere iş görmek;"Borç ödemekle, yol
yürümekle tükenir";Güneş balçıkla sıvanmaz
281;"Herkes aklını pazara
çıkarmış, yine kendi aklını
almış";İnsanlar kendi akıllarını başkalarının aklından üstün görürler.;2;genel;;Kemer sıkmak;Sel gider, kum kalır;Metelik vermemek
282;Herkes bildiğini okur;Başkaları ne söylerse söylesin, herkes kendi düşünüşüne göre iş yapar.;2;genel;;Silip süpürmek;Kulp takmak;At binenin, kılıç kuşananın
283;"Herkes gider Mersin’e, biz
gideriz tersine";İnsan kendi kusurunu göremez, bilemez.;2;genel;;Nabzını yoklamak;"Akşamın hayrından sabahın
şerri iyidir";Para saçmak
284;"Irak yerin haberini kervan
getirir";Erişemediğimiz şeyle aramızdaki ilişkiyi bir aracı sağlar.     36;2;genel;;Kök söktürmek;"Ağaca balta vurmuşlar
“sapı bedenimden” demiş";Tası tarağı toplamak
285;"Işığını akşamdan önce
yakan sabaha çırasına yağ
bulamaz";Gerekmediği zaman bol bol harcama yapanlar, gerektiği zaman harcayacak para bulamaz.;2;genel;;"Yağmurdan kaçarken doluya
tutulmak";Lafa tutmak;"Dilsizin dilinden anası
anlar"
286;"Irmak kenarında çeşme
yapılmaz";Zaten var olan ve herkesin istifade edebildiği şeyin yanına, aynı işi görmek üzere daha yetersizini ve zayıfını eklemek akıllılık değildir. Böyle bir gayret boşuna yorulmaktır.;2;genel;;"Lokma çiğnemeden
yutulmaz";Laf altında kalmamak;Rüzgârdan nem kapmak
287;"Islanmışın yağmurdan
pervası yoktur";Daha önce bir zarara uğramış kimse, kendisine aynı zararı verecek şeyden korkmaz.;2;genel;;"Kısmet gökten zembille
inmez";"Sarımsak yemedim ki ağzım
koksun";"Aç aman bilmez, çocuk
zaman bilmez"
288;Ismarlama hac, hac olmaz;Kişi, kendisi yapması gereken bir işi başkasına ısmarlamamalıdır.;2;genel;;"Çocuğun bulunduğu yerde
dedikodu olmaz";Tepeden bakmak;İn cin top oynamak
289;İbadet de gizli, kabahat de;Yapılan iyilikler göstermelik olmamalı, işlenen suçlar, ayıplar açığa vurulmamalıdır.;2;genel;;"Biz kırk kişiyiz, birbirimizi
biliriz";Külahları değişmek;"İnsan ayaktan, at tırnaktan
kapar"
290;İki aslan bir posta sığmaz;Bir ülkede iki baş egemen olamaz.;2;genel;;"Elmanın dibi göl, armudun
dibi yol";"Suratından düşen bin parça
olmak";"Kar kuytuda, para pintide
eğleşir"
291;İki at bir kazığa bağlanmaz;Ayrı ayrı düşünceleri ve kişilikleri bulunan iki kişi bir arada yaşayamaz, bir işi birlikte yapamazlar.;2;genel;;"Denizdeki balığın pazarlığı
olmaz";Sevinci kursağında kalmak;İbadet de gizli, kabahat de
292;İki deliye bir uslu koymuşlar;Birbirleriyle anlaşamayan, kavga eden iki kişinin arasını bulacak bir akıllının olması gerekir.     37;2;genel;;İki gözü iki çeşme ağlamak;Su gibi ezberlemek;İnsan kıymetini insan bilir
293;İki kaptan bir gemiyi batırır;Bir işi iki kişi yürütemez.;2;genel;;İş olacağına varır;Yabancılık çekmek;Her işte bir hayır vardır
294;İki el, bir baş için;Ancak kendi geçimini sağlayabilenler, başkalarına yardım edecek bir durumda değildir.;2;genel;;Bal tutan parmağını yalar;"Kes parmağını çık pazara,
merhem buyuran çok olur";"Kadı anlatışa göre fetva
verir"
295;İki emini bir yemin aralar;Birbirinin doğruluğuna güvenerek birlikte iş yapmakta olan iki kişiden biri, hile yapmadığına arkadaşını inandırmak için yemin ediyorsa artık güven bozulmuş demektir, ayrılmaları gerekir.;2;genel;;"Adamak kolay, ödemek
zordur";"Damdan düşen, damdan
düşenin hâlini bilir";Geceyi gündüze katmak
296;İki kere iki dört eder;Gerçekliğinden şüphe edilmeyecek kadar açık.;2;genel;;Türkü yakmak;Her işte bir hayır vardır;"Arlı arından, huylu huyundan
vazgeçmez"
297;İki ölç bir biç;Bir iş yapılırken ayrıntıları ve sonuçları iyice düşünülmelidir.;2;genel;;Tezgâhı kurmak;"Kimse bilmez kim kazana
kim yiye";"Komşu kızı almak, kalaylı
kaptan su içmek gibidir"
298;"İki testi tokuşunca biri
elbet kırılır";Kavgaya tutuşan iki kişiden biri elbette yenilir ve zarara uğrar.;2;genel;;Aba altında er yatar;Erken kalkan yol alır;Umudu boşa çıkmak
299;"İnsan ayaktan, at tırnaktan
kapar";Birçok hastalık insana ayağını üşütmesi, ata da tırnağı yoluyla gelir.;2;genel;;"İşine hor bakan boynuna
torba takar";"Kısmet gökten zembille
inmez";Hevesi kalmamak
300;İnsan beşer, kuldur şaşar;Kişinin zaman zaman şaşırmasını, yanılmasını hoş görmek gerekir.;2;genel;;İçi gitmek;Eteğindeki taşı dökmek;"Benim oğlum bina okur,
döner döner yine okur"
301;"İnsan çeşit çeşit, yer
damar damar";Toprağın her kesimi ayrı ayrı nitelikler taşıdığı gibi insanlar da birbirlerinden farklı özelliklere sahiptirler.     38;2;genel;;Pire için yorgan yakmak;"Çok söyleme arsız
edersin, aç bırakma hırsız
edersin";"Bin bilsen de bir bilene
danış"
302;"İnsan doğduğu yerde değil,
doyduğu yerde";İnsan doğduğu yeri değil geçimini sağladığı yeri yurt edinir.;2;genel;;"Kız kundakta, çeyiz
sandıkta";"Ahbap kusuruna bakan
ahbapsız kalır";İple çekmek
303;"İnsan gönlünün artığını
söyler";İnsanlar şaka yaparken içlerinden geçeni yansıtırlar.;2;genel;;Korku dağları bekler;Yakışık almamak;Cendereye sokmak
304;İnsan kıymetini insan bilir;Bir kimsenin ne kadar değerli olduğunu ancak o kimsenin değerini ölçebilecek nitelikteki insanlar anlar.;2;genel;;"Komşunu iki inekli iste ki
kendin bir inekli olasın";Ucu bucağı olmamak;"Cefayı çekmeyen sefanın
kadrini bilmez"
305;"İnsan konuşa konuşa, hayvan
koklaşa koklaşa";İnsanlar konuşarak birbirlerini daha iyi anlarlar.;2;genel;;Fos çıkmak;Bin tasa bir borç ödemez;Yüzüne hasret kalmak
306;"İnsan sözünden, hayvan
yularından tutulur";Yularından tutulan hayvan başka yöne sapamadığı gibi insan da söylediği sözün dışına çıkamaz.;2;genel;;"Benim oğlum bina okur,
döner döner yine okur";İyilik eden iyilik bulur;Muradına ermek
307;"İnsan yedisinde ne ise
yetmişinde de odur";Kişinin çocukluğundaki huyları, özellikleri yaşlılığında da değişmez.;2;genel;;Söz vermek;Şeytanın bacağını kırmak;"Şeytana pabucu ters
giydirmek"
308;"İnsanın alacası içinde,
hayvanın alacası dışınadır";Hayvanın rengi dışındadır, bellidir ancak insanın ne düşündüğü, ne yapmak istediği kısacası içyüzü belli değildir.;2;genel;;Patırtıya pabuç bırakmamak;"Ağustosta gölge kovan
zemheride karnın ovar";Yüreği hop etmek
309;İp inceldiği yerden kopar;Bir durum, en zayıf yerinden patlak verir.;2;genel;;Bam teline basmak;"Kedinin boynuna ciğer
asılmaz";Kalaylı bakır küflenmez
310;İp koptuğu yerden bağlanır;İki kişi arasındaki kırgınlığın giderilebilmesi için kırgınlık nedeninin ortadan kaldırılması gerekir.     39;2;genel;;Yuvasını bozmak;Züğürt tesellisi;Yanlış kapı çalmak
311;"İstediğini söyleyen,
istemediğini işitir";Bir kimseye hakaret etmek, ağır sözler söylemek doğru değildir, o da ağır sözlerle karşılık verir.;2;genel;;"Ağaca çıkan keçinin dala
bakan oğlağı olur";Sucuk gibi ıslanmak;Burnunda tütmek
312;"İsteyenin bir yüzü,
vermeyenin iki yüzü kara";Birinden bir şey isteyen utanır ancak isteği yerine getirmeyen daha çok utanmalıdır.;2;genel;;"Bostana dadanan eşeğin
kuyruğu, kulağı olmaz";İp koptuğu yerden bağlanır;"Ucuzdur vardır illeti,
pahalıdır vardır hikmeti"
313;İş insanın aynasıdır;Bir kimsenin nasıl bir kişi olduğu yaptığı işlerden anlaşılır.;2;genel;;"Acıyan uyumuş, acıkan
uyumamış";"Aba vakti aba, yaba vakti
yaba";Yumurtaya kulp takmak
314;İş olacağına varır;Bir soruna aldırmamayı, ne yapılırsa yapılsın yine aynı sonuca ulaşılacağını anlatan bir söz.;2;genel;;Aşık atmak;"Karıncanın zevali gelince
kanatlanır";"Deveyi yardan uçuran bir
tutam ottur"
315;"İşin yoksa şahit ol, paran
çoksa kefil ol";Tanıklık boş oturan kimselerin, kefillik ise parası çok olan kimselerin işidir.;2;genel;;"Mal da yalan mülk de
yalan, var biraz da sen oyalan";Asıl azmaz, bal kokmaz;"Gelini ata bindirmişler ‘ya
nasip’ demiş"
316;"İşine hor bakan boynuna
torba takar";İşini küçümseyen kişi para kazanamaz, para kazanamayanın sonu ise dilenciliktir.;2;genel;;Nefes tüketmek;Havsalası almamak;Zeytinyağı gibi üste çıkmak
317;"İşini kış tut da yaz çıkarsa
bahtına";Başladığın bir işte her zaman güçlüklerle karşılaşacağını varsay ki sonunda hayal kırıklığına uğramayasın, iyi sonuçlar aldığında sevinesin.     40;2;genel;;"İki ayağını bir pabuca
sokmak";"Cefayı çekmeyen sefanın
kadrini bilmez";Elçiye zeval olmaz
318;"İşleyen demir ışıldar pas
tutmaz";Tembel tembel oturan kimse hantallaşır, iş yapma yeteneğini yitirir, çalışan kimse gittikçe açılır, daha yararlı işler yapar.;2;genel;;"Kısmetinde ne varsa
kaşığına o çıkar";Yüreğine ateş düşmek;İzinden yürümek
319;İştah dişin dibindedir;Bir şey yemeyi istemeyen kimse, yiyecekten bir parça tattığında iştahının açıldığını görür.;2;genel;;Sürüden ayrılmak;Arpa eken buğday biçmez;"Ağaca balta vurmuşlar
“sapı bedenimden” demiş"
320;"İyi evlat babayı vezir, kötü
evlat rezil eder";Babaya ün kazandıran da el içine çıkamayacak bir duruma düşüren de çocuklarının tutumlarıdır.;2;genel;;Kanat germek;"Dimyat’a pirince giderken
evdeki bulgurdan olmak";"Işığını akşamdan önce
yakan sabaha çırasına yağ
bulamaz"
321;"İyi olacak hastanın hekim
ayağına gelir";Tanrı kötü bir durumun iyiliğe dönmesini dilemişse bunu yapacak kimse işin üstüne gelir.;2;genel;;Balta değmedik ağaç olmaz;"Denizdeki balığın pazarlığı
olmaz";İş çığırından çıkmak
322;"İyiliğe iyilik her kişinin
kârı, kötülüğe iyilik er kişinin
kârı";İyiliğe karşı iyiliği herkes yapabilir, önemli olan kötülüğe karşı iyilik yapabilmektir;2;genel;;Yüreğine su serpmek;İçine kurt düşmek;Zeval vermemek
323;İyilik eden iyilik bulur;İyilik eden kimseye zamanı geldiğinde başkaları da iyilik ederler.;2;genel;;"Acıkmış kudurmuştan
beterdir";El ayak çekilmek;Sünger çekmek
324;"İyilik et denize at, balık
bilmezse Halik bilir";Karşılık beklemeden iyilik yap;2;genel;;"Ayağını yorganına göre
uzatmak";"Boş gezmekten bedava
çalışmak yeğdir";İçine daralma gelmek
325;İyilik iki baştan olur;Birbiriyle ilişkileri bulunan iki kişinin iyi geçinebilmeleri için yalnız birinin iyi olması yetmez.     41;2;genel;;Kale almamak;Gelene git denilmez;Kafa sallamak
326;"Kabahat samur kürk olsa,
kimse sırtına almaz";Hiç kimse suçlu olduğunu kabul etmek istemez.;2;genel;;İçi sızlamak;"Büyük başın derdi büyük
olur";Ucuz alan, pahalı alır
327;"Kaçanı kovmazlar, yıkılanı
vurmazlar";Kaçan bir düşmanı kovalayıp ezmeye çalışmak mertliğe yakışmaz, âciz olduğunu göstereni de vurmak insanlık değildir.;2;genel;;Foyası meydana çıkmak;Kapıyı göstermek;Zokayı yutmak
328;Kaçanın anası ağlamamış;Tehlikeden kaçan kazançlı çıkmış.;2;genel;;"Lokma çiğnemeden
yutulmaz";İçi erimek;Ağaç yaşken eğilir
329;"Kader olmayınca kadir
bilinmez";Kişi talihsiz ise ne kadar iyi insan olursa olsun, değeri bilinmez.;2;genel;;İki el, bir baş için;Yabancılık çekmek;Kafa patlatmak
330;"Kadı anlatışa göre fetva
verir";Haksız kişi, olayı kendisini haklı gibi göstererek anlatırsa dinleyen ona hak verir.;2;genel;;Can canın yoldaşıdır;Kökünden halletmek;Kaza geliyorum demez
331;Kalaylı bakır küflenmez;Temizliğini herkesin bildiği kişi ve iş lekelenemez.;2;genel;;"Tekerlek kırıldıktan sonra
yol gösteren çok olur";Put kesilmek;İç açmak
332;Kanaat gibi devlet olmaz;Elindekiyle yetinmesini bilen kişi yokluk nedir bilmez.;2;genel;;Sakalı ele vermek;"Malı ongun olanın adı angın
olur";"Kısmet ise gelir Hint’ten,
kısmet değilse ne gelir elden?
Tanrı bir şeyi size kısmet etmişse
o mutlaka size gelir, kısmet
etmemişse yapacak bir şey
yoktur.
360-Kırk gün taban eti, bir gün
av eti"
